#NAME	SampleType	Site	Location	Distance	Note	Length (cm)	Weight (g)	Condition Factor	Temperature	DO	Conductivity	TDS	pH	NH4	NH3
KK107	gut content	5_DSW2	Downstream_Waterloo	7.713		6.1	2.927	0.012895352	6.7	13.67	438.2	437.5	8.41	0.09	0
KK108	gut content	5_DSW2	Downstream_Waterloo	7.713		6.3	2.877	0.011505837	6.7	13.67	438.2	437.5	8.41	0.09	0
KK109	gut content	5_DSW2	Downstream_Waterloo	7.713		6	2.618	0.01212037	6.7	13.67	438.2	437.5	8.41	0.09	0
KK110	gut content	5_DSW2	Downstream_Waterloo	7.713		6.4	3.142	0.011985779	6.7	13.67	438.2	437.5	8.41	0.09	0
KK111	gut content	5_DSW2	Downstream_Waterloo	7.713		5.6	2.057	0.011713056	6.7	13.67	438.2	437.5	8.41	0.09	0
KK112	wash	5_DSW2	Downstream_Waterloo	7.713					6.7	13.67	438.2	437.5	8.41	0.09	0
KK113	wash	5_DSW2	Downstream_Waterloo	7.713					6.7	13.67	438.2	437.5	8.41	0.09	0
KK114	wash	5_DSW2	Downstream_Waterloo	7.713					6.7	13.67	438.2	437.5	8.41	0.09	0
KK115	gut content	6_DSW3	Downstream_Waterloo	9.609		6.3	3.209	0.012833587	6.3	12.05	436.9	440.7	8.66	0.05	0
KK116	gut content	6_DSW3	Downstream_Waterloo	9.609	low gut content	5.8	2.443	0.012521014	6.3	12.05	436.9	440.7	8.66	0.05	0
KK117	gut content	6_DSW3	Downstream_Waterloo	9.609		5.7	1.923	0.010383762	6.3	12.05	436.9	440.7	8.66	0.05	0
KK118	gut content	6_DSW3	Downstream_Waterloo	9.609		5.6	2.068	0.011775692	6.3	12.05	436.9	440.7	8.66	0.05	0
KK119	gut content	6_DSW3	Downstream_Waterloo	9.609		5.2	1.688	0.012005007	6.3	12.05	436.9	440.7	8.66	0.05	0
KK120	gut content	6_DSW3	Downstream_Waterloo	9.609	low gut content	6	2.894	0.013398148	6.3	12.05	436.9	440.7	8.66	0.05	0
KK121	gut content	6_DSW3	Downstream_Waterloo	9.609	low gut content	6.1	2.829	0.012463598	6.3	12.05	436.9	440.7	8.66	0.05	0
KK122	gut content	6_DSW3	Downstream_Waterloo	9.609	low gut content	5.6	1.876	0.010682398	6.3	12.05	436.9	440.7	8.66	0.05	0
KK123	gut content	6_DSW3	Downstream_Waterloo	9.609		6.2	3.03	0.012713571	6.3	12.05	436.9	440.7	8.66	0.05	0
KK124	gut content	6_DSW3	Downstream_Waterloo	9.609		6.6	3.239	0.011266244	6.3	12.05	436.9	440.7	8.66	0.05	0
KK125	gut content	6_DSW3	Downstream_Waterloo	9.609	stone?	6	2.316	0.010722222	6.3	12.05	436.9	440.7	8.66	0.05	0
KK126	gut content	6_DSW3	Downstream_Waterloo	9.609		5.1	1.579	0.011903416	6.3	12.05	436.9	440.7	8.66	0.05	0
KK127	gut content	6_DSW3	Downstream_Waterloo	9.609	low gut content	5.5	2.259	0.013577761	6.3	12.05	436.9	440.7	8.66	0.05	0
KK128	gut content	6_DSW3	Downstream_Waterloo	9.609		5.6	1.979	0.011268905	6.3	12.05	436.9	440.7	8.66	0.05	0
KK129	gut content	6_DSW3	Downstream_Waterloo	9.609		5.8	2.121	0.010870679	6.3	12.05	436.9	440.7	8.66	0.05	0
KK130	gut content	6_DSW3	Downstream_Waterloo	9.609		5.5	1.715	0.010308039	6.3	12.05	436.9	440.7	8.66	0.05	0
KK131	wash	6_DSW3	Downstream_Waterloo	9.609					6.3	12.05	436.9	440.7	8.66	0.05	0
KK132	wash	6_DSW3	Downstream_Waterloo	9.609					6.3	12.05	436.9	440.7	8.66	0.05	0
KK133	wash	6_DSW3	Downstream_Waterloo	9.609					6.3	12.05	436.9	440.7	8.66	0.05	0
KK134	gut content	7_DSK1	Downstream_Kitchener	0.605		5.4	1.991	0.01264416	8.5	13.15	830.3	540.5	8.39	0.08	0
KK135	gut content	7_DSK1	Downstream_Kitchener	0.605		5.9	2.624	0.012776379	8.5	13.15	830.3	540.5	8.39	0.08	0
KK136	gut content	7_DSK1	Downstream_Kitchener	0.605	low gut content	5.8	2.422	0.012413383	8.5	13.15	830.3	540.5	8.39	0.08	0
KK137	gut content	7_DSK1	Downstream_Kitchener	0.605		5.2	1.678	0.011933887	8.5	13.15	830.3	540.5	8.39	0.08	0
KK138	gut content	7_DSK1	Downstream_Kitchener	0.605		5.7	2.366	0.012775861	8.5	13.15	830.3	540.5	8.39	0.08	0
KK139	gut content	7_DSK1	Downstream_Kitchener	0.605		6	2.673	0.012375	8.5	13.15	830.3	540.5	8.39	0.08	0
KK140	gut content	7_DSK1	Downstream_Kitchener	0.605		6.6	2.938	0.010219273	8.5	13.15	830.3	540.5	8.39	0.08	0
KK141	gut content	7_DSK1	Downstream_Kitchener	0.605		5.9	2.717	0.013229201	8.5	13.15	830.3	540.5	8.39	0.08	0
KK142	gut content	7_DSK1	Downstream_Kitchener	0.605		6.6	4.15	0.014434983	8.5	13.15	830.3	540.5	8.39	0.08	0
KK143	gut content	7_DSK1	Downstream_Kitchener	0.605		5.8	2.588	0.013264176	8.5	13.15	830.3	540.5	8.39	0.08	0
KK144	gut content	7_DSK1	Downstream_Kitchener	0.605		5.5	2.234	0.013427498	8.5	13.15	830.3	540.5	8.39	0.08	0
KK145	gut content	7_DSK1	Downstream_Kitchener	0.605		5.7	2.499	0.013494031	8.5	13.15	830.3	540.5	8.39	0.08	0
KK146	gut content	7_DSK1	Downstream_Kitchener	0.605	low gut content	5.9	2.911	0.014173796	8.5	13.15	830.3	540.5	8.39	0.08	0
KK147	gut content	7_DSK1	Downstream_Kitchener	0.605		6.2	3.181	0.013347152	8.5	13.15	830.3	540.5	8.39	0.08	0
KK148	gut content	7_DSK1	Downstream_Kitchener	0.605		5.7	2.629	0.014196001	8.5	13.15	830.3	540.5	8.39	0.08	0
KK149	wash	7_DSK1	Downstream_Kitchener	0.605					8.5	13.15	830.3	540.5	8.39	0.08	0
KK150	wash	7_DSK1	Downstream_Kitchener	0.605					8.5	13.15	830.3	540.5	8.39	0.08	0
KK151	wash	7_DSK1	Downstream_Kitchener	0.605					8.5	13.15	830.3	540.5	8.39	0.08	0
KK152	gut content	8_DSK2	Downstream_Kitchener	1.278		5.9	2.645	0.012878629	7.3	11.99	875	568.1	8.52	0.07	0
KK153	gut content	8_DSK2	Downstream_Kitchener	1.278		5.2	1.746	0.012417501	7.3	11.99	875	568.1	8.52	0.07	0
KK154	gut content	8_DSK2	Downstream_Kitchener	1.278		5.3	1.843	0.012379347	7.3	11.99	875	568.1	8.52	0.07	0
KK155	gut content	8_DSK2	Downstream_Kitchener	1.278		5.3	1.861	0.012500252	7.3	11.99	875	568.1	8.52	0.07	0
KK156	gut content	8_DSK2	Downstream_Kitchener	1.278	low gut content	6.2	3.093	0.012977913	7.3	11.99	875	568.1	8.52	0.07	0
KK157	gut content	8_DSK2	Downstream_Kitchener	1.278		5.5	1.983	0.011918858	7.3	11.99	875	568.1	8.52	0.07	0
KK158	gut content	8_DSK2	Downstream_Kitchener	1.278	low gut content	5.4	1.869	0.01186938	7.3	11.99	875	568.1	8.52	0.07	0
KK159	gut content	8_DSK2	Downstream_Kitchener	1.278		5.6	2.157	0.01228248	7.3	11.99	875	568.1	8.52	0.07	0
KK160	gut content	8_DSK2	Downstream_Kitchener	1.278		5.5	2.047	0.012303531	7.3	11.99	875	568.1	8.52	0.07	0
KK161	gut content	8_DSK2	Downstream_Kitchener	1.278		5.6	1.953	0.011120855	7.3	11.99	875	568.1	8.52	0.07	0
KK162	gut content	8_DSK2	Downstream_Kitchener	1.278		5.6	2.159	0.012293868	7.3	11.99	875	568.1	8.52	0.07	0
KK163	gut content	8_DSK2	Downstream_Kitchener	1.278		5.5	1.926	0.011576258	7.3	11.99	875	568.1	8.52	0.07	0
KK164	gut content	8_DSK2	Downstream_Kitchener	1.278		6	2.647	0.01225463	7.3	11.99	875	568.1	8.52	0.07	0
KK165	gut content	8_DSK2	Downstream_Kitchener	1.278	low gut content	6	2.604	0.012055556	7.3	11.99	875	568.1	8.52	0.07	0
KK166	gut content	8_DSK2	Downstream_Kitchener	1.278		5.9	2.244	0.010926141	7.3	11.99	875	568.1	8.52	0.07	0
KK167	wash	8_DSK2	Downstream_Kitchener	1.278					7.3	11.99	875	568.1	8.52	0.07	0
KK168	wash	8_DSK2	Downstream_Kitchener	1.278					7.3	11.99	875	568.1	8.52	0.07	0
KK169	wash	8_DSK2	Downstream_Kitchener	1.278					7.3	11.99	875	568.1	8.52	0.07	0
KK170	gut content	9_DSK3	Downstream_Kitchener	3.175		5.5	2.129	0.012796394	8.2	15.11	830.4	540.8	8.61	0.06	0
KK171	gut content	9_DSK3	Downstream_Kitchener	3.175		4.5	0.989	0.010853224	8.2	15.11	830.4	540.8	8.61	0.06	0
KK172	gut content	9_DSK3	Downstream_Kitchener	3.175		5	1.396	0.011168	8.2	15.11	830.4	540.8	8.61	0.06	0
KK173	gut content	9_DSK3	Downstream_Kitchener	3.175		5.4	2.077	0.013190317	8.2	15.11	830.4	540.8	8.61	0.06	0
KK174	gut content	9_DSK3	Downstream_Kitchener	3.175	low gut content	5.5	2.088	0.012549962	8.2	15.11	830.4	540.8	8.61	0.06	0
KK175	gut content	9_DSK3	Downstream_Kitchener	3.175	low gut content	4.6	1.252	0.012862661	8.2	15.11	830.4	540.8	8.61	0.06	0
KK176	gut content	9_DSK3	Downstream_Kitchener	3.175		4.5	1.17	0.012839506	8.2	15.11	830.4	540.8	8.61	0.06	0
KK177	gut content	9_DSK3	Downstream_Kitchener	3.175	low gut content	5.5	2.123	0.012760331	8.2	15.11	830.4	540.8	8.61	0.06	0
KK178	gut content	9_DSK3	Downstream_Kitchener	3.175		5.3	1.938	0.013017457	8.2	15.11	830.4	540.8	8.61	0.06	0
KK179	gut content	9_DSK3	Downstream_Kitchener	3.175		5.1	1.8	0.013569442	8.2	15.11	830.4	540.8	8.61	0.06	0
KK180	gut content	9_DSK3	Downstream_Kitchener	3.175		4.7	1.318	0.012694682	8.2	15.11	830.4	540.8	8.61	0.06	0
KK181	gut content	9_DSK3	Downstream_Kitchener	3.175		5.5	2.065	0.012411721	8.2	15.11	830.4	540.8	8.61	0.06	0
KK182	gut content	9_DSK3	Downstream_Kitchener	3.175		5.8	2.37	0.012146869	8.2	15.11	830.4	540.8	8.61	0.06	0
KK183	gut content	9_DSK3	Downstream_Kitchener	3.175		5.5	2.176	0.013078888	8.2	15.11	830.4	540.8	8.61	0.06	0
KK184	gut content	9_DSK3	Downstream_Kitchener	3.175		4.8	1.239	0.011203342	8.2	15.11	830.4	540.8	8.61	0.06	0
KK185	wash	9_DSK3	Downstream_Kitchener	3.175					8.2	15.11	830.4	540.8	8.61	0.06	0
KK186	wash	9_DSK3	Downstream_Kitchener	3.175					8.2	15.11	830.4	540.8	8.61	0.06	0
KK187	wash	9_DSK3	Downstream_Kitchener	3.175					8.2	15.11	830.4	540.8	8.61	0.06	0
KK188	gut content	10_DSK4	Downstream_Kitchener	14.884		4.8	1.222	0.011049624							
KK189	gut content	10_DSK4	Downstream_Kitchener	14.884	low gut content	5.6	2.332	0.013278972							
KK190	gut content	10_DSK4	Downstream_Kitchener	14.884		4.9	1.254	0.010658824							
KK191	gut content	10_DSK4	Downstream_Kitchener	14.884		4.7	1.164	0.011211389							
KK192	gut content	10_DSK4	Downstream_Kitchener	14.884	low gut content	6.3	4.447	0.017784656							
KK193	gut content	10_DSK4	Downstream_Kitchener	14.884		6.2	3.283	0.013775133							
KK194	gut content	10_DSK4	Downstream_Kitchener	14.884		6.5	3.918	0.014266727							
KK195	gut content	10_DSK4	Downstream_Kitchener	14.884		6.3	3.416	0.013661432							
KK196	gut content	10_DSK4	Downstream_Kitchener	14.884		6.5	3.672	0.01337096							
KK197	gut content	10_DSK4	Downstream_Kitchener	14.884		5.9	2.46	0.011977856							
KK198	gut content	10_DSK4	Downstream_Kitchener	14.884		6.4	3.728	0.014221191							
KK199	gut content	10_DSK4	Downstream_Kitchener	14.884		5.9	2.796	0.013613855							
KK200	gut content	10_DSK4	Downstream_Kitchener	14.884		6.2	3.535	0.0148325							
KK201	gut content	10_DSK4	Downstream_Kitchener	14.884		5.7	2.61	0.014093405							
KK202	gut content	10_DSK4	Downstream_Kitchener	14.884		5.8	2.458	0.012597892							
KK203	wash	10_DSK4	Downstream_Kitchener	14.884											
KK204	wash	10_DSK4	Downstream_Kitchener	14.884											
KK205	wash	10_DSK4	Downstream_Kitchener	14.884											
